NumberofOccurrences	CollectorName	LastNameGuess
2	J. Willis	Willis
4	Winkler	Winkler
2	Winn	Winn
1	W.S. Woolcott	Woolcott
1	C. Wooley	Wooley
4	Wright	Wright
2	R. Yerger	Yerger
20	R.W. Yerger	Yerger
12	Yerger	Yerger
1	Zieman	Zieman
5	Zirn	Zirn
