LocalityID	CollectorName	LastNameGuess	VerbatimCollectors	FieldNo	iYear	VerbatimDate
16175	Jones	Jones	"Suttkus, Clemmer, Williams & Jones"	RDS 6164	1976	2/6/1976
16176	R.D. Suttkus	Suttkus	"Suttkus, Clemmer, Williams & Jones"	RDS 6165	1976	3/6/1976
16176	Clemmer	Clemmer	"Suttkus, Clemmer, Williams & Jones"	RDS 6165	1976	3/6/1976
16176	Williams	Williams	"Suttkus, Clemmer, Williams & Jones"	RDS 6165	1976	3/6/1976
16176	Jones	Jones	"Suttkus, Clemmer, Williams & Jones"	RDS 6165	1976	3/6/1976
16177	R.D. Suttkus	Suttkus	Suttkus & Clemmer	RDS 6167	1976	4/6/1976
16177	Clemmer	Clemmer	Suttkus & Clemmer	RDS 6167	1976	4/6/1976
16178	R.D. Suttkus	Suttkus	"Suttkus, Clemmer, Williams & Jones"	RDS 6168	1976	4/6/1976
16178	Clemmer	Clemmer	"Suttkus, Clemmer, Williams & Jones"	RDS 6168	1976	4/6/1976
16178	Williams	Williams	"Suttkus, Clemmer, Williams & Jones"	RDS 6168	1976	4/6/1976
16178	Jones	Jones	"Suttkus, Clemmer, Williams & Jones"	RDS 6168	1976	4/6/1976
16179	R.D. Suttkus	Suttkus	"Suttkus, Clemmer, Williams & Jones"	RDS 6170	1976	6/6/1976
16179	Clemmer	Clemmer	"Suttkus, Clemmer, Williams & Jones"	RDS 6170	1976	6/6/1976
16179	Williams	Williams	"Suttkus, Clemmer, Williams & Jones"	RDS 6170	1976	6/6/1976
16179	Jones	Jones	"Suttkus, Clemmer, Williams & Jones"	RDS 6170	1976	6/6/1976
16180	R.D. Suttkus	Suttkus	Suttkus & L. Loetterle	RDS 6172	1976	11/6/1976
16180	L. Loetterle	Loetterle	Suttkus & L. Loetterle	RDS 6172	1976	11/6/1976
16181	R.D. Suttkus	Suttkus	Suttkus & L. Loetterle	RDS 6173	1976	11/6/1976
16181	L. Loetterle	Loetterle	Suttkus & L. Loetterle	RDS 6173	1976	11/6/1976
16182	R.D. Suttkus	Suttkus	Suttkus & L. Loetterle	RDS 6174	1976	11/6/1976
16182	L. Loetterle	Loetterle	Suttkus & L. Loetterle	RDS 6174	1976	11/6/1976
16183	R.D. Suttkus	Suttkus	R.D. Suttkus & L. Loetterle	RDS 6175	1976	12/6/1976
16183	L. Loetterle	Loetterle	R.D. Suttkus & L. Loetterle	RDS 6175	1976	12/6/1976
16184	R.D. Suttkus	Suttkus	R.D. Suttkus & P. Sorensen	RDS 6176	1976	16/7/1976
16184	P. Sorensen	Sorensen	R.D. Suttkus & P. Sorensen	RDS 6176	1976	16/7/1976
16185	R.D. Suttkus	Suttkus	R.D. Suttkus & P. Sorensen	RDS 6177	1976	16/7/1976
16185	P. Sorensen	Sorensen	R.D. Suttkus & P. Sorensen	RDS 6177	1976	16/7/1976
16186	R.D. Suttkus	Suttkus	R.D. Suttkus & P. Sorensen	RDS 6178	1976	16 July 1976
16186	P. Sorensen	Sorensen	R.D. Suttkus & P. Sorensen	RDS 6178	1976	16 July 1976
16187	R.D. Suttkus	Suttkus	R.D. Suttkus & P. Sorensen	RDS 6179	1976	16/7/1976
16187	P. Sorensen	Sorensen	R.D. Suttkus & P. Sorensen	RDS 6179	1976	16/7/1976
16188	R.D. Suttkus	Suttkus	R.D. Suttkus & P. Sorensen	RDS 6180	1976	16 July 1976
16188	P. Sorensen	Sorensen	R.D. Suttkus & P. Sorensen	RDS 6180	1976	16 July 1976
16189	R.D. Suttkus	Suttkus	R.D. Suttkus & P. Sorensen	RDS 6181	1976	16 July 1976
16189	P. Sorensen	Sorensen	R.D. Suttkus & P. Sorensen	RDS 6181	1976	16 July 1976
16190	R.D. Suttkus	Suttkus	"R.D. Suttkus, A.E. Smalley & D. White"	RDS 6182	1976	26/7/1976
16190	A.E. Smalley	Smalley	"R.D. Suttkus, A.E. Smalley & D. White"	RDS 6182	1976	26/7/1976
16190	D. White	White	"R.D. Suttkus, A.E. Smalley & D. White"	RDS 6182	1976	26/7/1976
16191	R.D. Suttkus	Suttkus	"R.D. Suttkus, A.E. Smalley & D. White"	RDS 6183	1976	27/7/1976
16191	A.E. Smalley	Smalley	"R.D. Suttkus, A.E. Smalley & D. White"	RDS 6183	1976	27/7/1976
16191	D. White	White	"R.D. Suttkus, A.E. Smalley & D. White"	RDS 6183	1976	27/7/1976
16192	R.D. Suttkus	Suttkus	"R.D. Suttkus, A.E. Smalley & D. White"	RDS 6184	1976	27/7/1976
16192	A.E. Smalley	Smalley	"R.D. Suttkus, A.E. Smalley & D. White"	RDS 6184	1976	27/7/1976
16192	D. White	White	"R.D. Suttkus, A.E. Smalley & D. White"	RDS 6184	1976	27/7/1976
16193	R.D. Suttkus	Suttkus	"R.D. Suttkus, A.E. Smalley & D. White"	RDS 6185	1976	27/7/1976
16193	A.E. Smalley	Smalley	"R.D. Suttkus, A.E. Smalley & D. White"	RDS 6185	1976	27/7/1976
16193	D. White	White	"R.D. Suttkus, A.E. Smalley & D. White"	RDS 6185	1976	27/7/1976
16194	R.D. Suttkus	Suttkus	"R.D. Suttkus, A.E. Smalley & D. White"	RDS 6186	1976	27/7/1976
16194	A.E. Smalley	Smalley	"R.D. Suttkus, A.E. Smalley & D. White"	RDS 6186	1976	27/7/1976
16194	D. White	White	"R.D. Suttkus, A.E. Smalley & D. White"	RDS 6186	1976	27/7/1976
16195	R.D. Suttkus	Suttkus	Suttkus & Sorenson	RDS 6200	1976	3 August 1976
16195	Sorenson	Sorenson	Suttkus & Sorenson	RDS 6200	1976	3 August 1976
16196	R.D. Suttkus	Suttkus	Suttkus & Sorenson	RDS 6201	1976	3 August 1976
16196	Sorenson	Sorenson	Suttkus & Sorenson	RDS 6201	1976	3 August 1976
16197	R.D. Suttkus	Suttkus	Suttkus & Sorenson	RDS 6202	1976	3 August 1976
16197	Sorenson	Sorenson	Suttkus & Sorenson	RDS 6202	1976	3 August 1976
16198	Gunning	Gunning	Gunning & Heins	RDS 6203	1976	3 August 1976
16198	Heins	Heins	Gunning & Heins	RDS 6203	1976	3 August 1976
16199	Gunning	Gunning	Gunning & Heins	RDS 6204	1976	3 August 1976
16199	Heins	Heins	Gunning & Heins	RDS 6204	1976	3 August 1976
16200	R.D. Suttkus	Suttkus	Suttkus & Sorenson	RDS 6205	1976	4 August 1976
16200	Sorenson	Sorenson	Suttkus & Sorenson	RDS 6205	1976	4 August 1976
16201	R.D. Suttkus	Suttkus	Suttkus & Sorenson	RDS 6206	1976	4 August 1976
16201	Sorenson	Sorenson	Suttkus & Sorenson	RDS 6206	1976	4 August 1976
16202	R.D. Suttkus	Suttkus	Suttkus & Gunning	RDS 6207	1976	5/8/1976
16202	Gunning	Gunning	Suttkus & Gunning	RDS 6207	1976	5/8/1976
16203	R.D. Suttkus	Suttkus	Suttkus & Gunning	RDS 6208	1976	5 August 1976
16203	Gunning	Gunning	Suttkus & Gunning	RDS 6208	1976	5 August 1976
16204	R.D. Suttkus	Suttkus	Suttkus & Gunning	RDS 6209	1976	5/8/1976
16204	Gunning	Gunning	Suttkus & Gunning	RDS 6209	1976	5/8/1976
16205	R.D. Suttkus	Suttkus	Suttkus & Gunning	RDS 6210	1976	5 August 1976
16205	Gunning	Gunning	Suttkus & Gunning	RDS 6210	1976	5 August 1976
16206	R.D. Suttkus	Suttkus	Suttkus & Gunning	RDS 6211	1976	5/8/1976
16206	Gunning	Gunning	Suttkus & Gunning	RDS 6211	1976	5/8/1976
16207	R.D. Suttkus	Suttkus	Suttkus & Gunning	RDS 6212	1976	5 August 1976
16207	Gunning	Gunning	Suttkus & Gunning	RDS 6212	1976	5 August 1976
16208	R.D. Suttkus	Suttkus	Suttkus & Gunning	RDS 6213	1976	5 August 1976
16208	Gunning	Gunning	Suttkus & Gunning	RDS 6213	1976	5 August 1976
16209	R.D. Suttkus	Suttkus	Suttkus & Gunning	RDS 6214	1976	5/8/1976
16209	Gunning	Gunning	Suttkus & Gunning	RDS 6214	1976	5/8/1976
16210	R.D. Suttkus	Suttkus	R.D. Suttkus & G.E. Gunning	RDS 6215	1976	11/8/1976
16210	G.E. Gunning	Gunning	R.D. Suttkus & G.E. Gunning	RDS 6215	1976	11/8/1976
16211	R.D. Suttkus	Suttkus	R.D. Suttkus & G.E. Gunning	RDS 6216	1976	11 August 1976
16211	G.E. Gunning	Gunning	R.D. Suttkus & G.E. Gunning	RDS 6216	1976	11 August 1976
16212	R.D. Suttkus	Suttkus	R.D. Suttkus & G.E. Gunning	RDS 6218	1976	11 August 1976
16212	G.E. Gunning	Gunning	R.D. Suttkus & G.E. Gunning	RDS 6218	1976	11 August 1976
16213	R.D. Suttkus	Suttkus	R.D. Suttkus & G.E. Gunning	RDS 6219	1976	11 August 1976
16213	G.E. Gunning	Gunning	R.D. Suttkus & G.E. Gunning	RDS 6219	1976	11 August 1976
16214	R.D. Suttkus	Suttkus	"R.D. Suttkus, P. Sorensen & G.E. Gunning"	RDS 6220	1976	12 August 1976
16214	P. Sorensen	Sorensen	"R.D. Suttkus, P. Sorensen & G.E. Gunning"	RDS 6220	1976	12 August 1976
16214	G.E. Gunning	Gunning	"R.D. Suttkus, P. Sorensen & G.E. Gunning"	RDS 6220	1976	12 August 1976
16215	R.D. Suttkus	Suttkus	"R.D. Suttkus, P. Sorensen & G.E. Gunning"	RDS 6221	1976	12/8/1976
16215	P. Sorensen	Sorensen	"R.D. Suttkus, P. Sorensen & G.E. Gunning"	RDS 6221	1976	12/8/1976
16215	G.E. Gunning	Gunning	"R.D. Suttkus, P. Sorensen & G.E. Gunning"	RDS 6221	1976	12/8/1976
16216	R.D. Suttkus	Suttkus	"R.D. Suttkus, P. Sorensen & G.E. Gunning"	RDS 6222	1976	12 August 1976
16216	P. Sorensen	Sorensen	"R.D. Suttkus, P. Sorensen & G.E. Gunning"	RDS 6222	1976	12 August 1976
16216	G.E. Gunning	Gunning	"R.D. Suttkus, P. Sorensen & G.E. Gunning"	RDS 6222	1976	12 August 1976
16217	R.D. Suttkus	Suttkus	"R.D. Suttkus, P. Sorensen & G.E. Gunning"	RDS 6223	1976	12 August  1976
16217	P. Sorensen	Sorensen	"R.D. Suttkus, P. Sorensen & G.E. Gunning"	RDS 6223	1976	12 August  1976
